# Constructed from biom file
#OTU ID	P8-rep4	P5-rep4	P9-rep1	P9-rep5	P9-rep4	P5-rep1	P8-rep2	P8-rep1	P9-rep2	P9-rep3	P8-rep3	P5-rep5	P5-rep2	P5-rep3	P8-rep5
0817acffdf382f6d2a27c0d14cda4e46	164.0	174.0	153.0	310.0	454.0	83.0	321.0	43.0	56.0	512.0	224.0	105.0	149.0	60.0	211.0
1b70505690bf5b5cd281be6f77410b9a	160.0	21.0	9.0	27.0	61.0	9.0	164.0	18.0	5.0	69.0	141.0	12.0	17.0	4.0	166.0
62e1f11b06f7b7f5e48b901f17317fc2	156.0	22.0	47.0	94.0	294.0	24.0	217.0	34.0	44.0	217.0	147.0	12.0	35.0	9.0	156.0
e5369955e1893e007accdc9cdbc4b182	155.0	31.0	37.0	80.0	156.0	11.0	249.0	39.0	18.0	206.0	182.0	24.0	18.0	14.0	203.0
c400f45933213cca13f20a396397f378	152.0	0.0	0.0	0.0	0.0	0.0	316.0	33.0	0.0	0.0	198.0	0.0	0.0	0.0	165.0
3f525414af065a53856e0ec5d6f5edb4	145.0	0.0	0.0	6.0	0.0	0.0	198.0	23.0	0.0	0.0	131.0	0.0	0.0	0.0	129.0
0d1229e0c7ff3bfdf7ee6268ed45a17b	143.0	10.0	27.0	87.0	132.0	0.0	177.0	27.0	15.0	132.0	163.0	3.0	6.0	3.0	174.0
48c7f078f14402be0dc70b28066786c8	138.0	0.0	0.0	0.0	0.0	0.0	160.0	23.0	0.0	0.0	125.0	0.0	0.0	0.0	179.0
da3d9d9cd7e2304be83a43e5c5f476a3	135.0	11.0	0.0	0.0	2.0	10.0	232.0	33.0	0.0	0.0	146.0	6.0	5.0	0.0	163.0
eb25ec91a34ebe302721c750afc78457	134.0	0.0	0.0	0.0	0.0	0.0	201.0	40.0	0.0	0.0	131.0	0.0	0.0	0.0	162.0
fed035c68c4076c933233d42df791109	133.0	0.0	0.0	0.0	0.0	0.0	221.0	28.0	0.0	0.0	186.0	0.0	0.0	0.0	198.0
b321cf974a807c2d215948952d25c3d4	131.0	0.0	0.0	3.0	5.0	0.0	176.0	16.0	0.0	2.0	123.0	0.0	0.0	0.0	97.0
69b5809f7115c4becdadb64254027893	130.0	26.0	13.0	29.0	72.0	9.0	212.0	33.0	9.0	28.0	109.0	17.0	8.0	7.0	117.0
4833f3b5328211a2301f9f9a02172e63	127.0	5.0	0.0	0.0	0.0	1.0	257.0	20.0	0.0	0.0	166.0	0.0	2.0	0.0	191.0
d7f8000b96f0cd49961cf319c948b5e1	125.0	0.0	27.0	61.0	92.0	2.0	169.0	6.0	12.0	106.0	83.0	0.0	4.0	0.0	101.0
4e00c989f5cb4354ceb8c9b9e3e48adf	124.0	2.0	0.0	0.0	0.0	0.0	253.0	26.0	0.0	0.0	89.0	0.0	0.0	0.0	155.0
228fa6e69fb2d7cc78d54f3961e1fd1a	123.0	0.0	6.0	15.0	35.0	0.0	219.0	36.0	6.0	13.0	128.0	0.0	0.0	0.0	87.0
f8d5a493f963d8316e31464724e7ce43	119.0	0.0	0.0	0.0	0.0	0.0	165.0	16.0	0.0	0.0	117.0	0.0	0.0	0.0	70.0
