Feature ID	Taxon	Confidence
acf451609c18b8f156392eb72a9d2e89	k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Gaiellales; f__Gaiellaceae; g__; s__	0.9999997696358472
f3d8037b557afdfa79276b7593ed9a66	k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Gaiellales; f__Gaiellaceae; g__; s__	0.9999966462541144
853404b4e8480fb073b8826363b10b22	k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Gemmatales; f__Isosphaeraceae; g__; s__	0.9998585726139568
26a84c5f99207a0d815da1feaf0f8ec8	k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__Conexibacteraceae; g__; s__	0.9992774020365116
ad069bb550df40b92e5a018a987d5dce	k__Bacteria; p__Acidobacteria; c__Solibacteres; o__Solibacterales; f__Solibacteraceae; g__Candidatus Solibacter; s__	0.9999607720280085
45f88464bb7012345b239c4ff0f9e4ae	k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Koribacteraceae; g__; s__	0.9999999875927587
9d8a8d6cc67b40018148dc9d7d3f0e21	k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__EB1017; g__; s__	0.9999981463188149
ae4d5892cf7cb9c9a34397a6b520174d	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__; g__; s__	0.9964064681198915
c55e343b2b00d1394bda28078978a498	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium; s__	0.9997537238774961
07c00b1451dec73a391658ffe3cd3242	k__Bacteria; p__Verrucomicrobia; c__[Spartobacteria]; o__[Chthoniobacterales]; f__[Chthoniobacteraceae]; g__DA101; s__	0.999999929626912
e6576fcd2bbc2ab6974197c5ce3858cd	k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Koribacteraceae; g__Candidatus Koribacter; s__	0.9981410795748344
53913784a872c53357c15d0f814dc9a2	k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Acidobacteriaceae; g__; s__	0.9997356436042932
907b6853b8ab71e894cb1dca2a83ef99	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Streptomycetaceae	0.9999954342396985
aa85bcbf61773d41838e87e4f3ca8bdd	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Mycobacteriaceae; g__Mycobacterium; s__	0.9994683535345429
9e1e7ef024fdfdd8e8cf12c6949b684f	k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__EB1017; g__; s__	0.9994587970900439
d9ee9552e244e9b464bffd6332b3c0c0	k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Pirellulales; f__Pirellulaceae; g__; s__	0.9999990215434549
fb2d7fb642fef827795bdf2edb6317b6	k__Bacteria; p__Acidobacteria; c__Solibacteres; o__Solibacterales; f__; g__; s__	0.9999996456703345
fdcda47338299e0d3d55f18a306dde9b	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__A21b; f__EB1003; g__; s__	0.999994520618463
9a64fcf0e531e7f6a032dcac2d57ca83	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__	0.8171614384102899
7ab1c399f03e344acef605793ce4e506	k__Bacteria; p__Acidobacteria; c__Solibacteres; o__Solibacterales; f__Solibacteraceae; g__; s__	0.9973662035858119
b31710682f6749d3d06c9253ac2e3049	k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Koribacteraceae; g__; s__	0.9999999882058433
